contamination,random_state,precision,recall,f1_score,roc_auc
0.01,0,0.234,0.0468,0.078,0.7663745305263158
0.01,42,0.238,0.0476,0.07933333333333334,0.7564394905263159
0.01,99,0.26,0.052,0.08666666666666667,0.7583491368421053
0.02,0,0.224,0.0896,0.128,0.7663745305263158
0.02,42,0.244,0.0976,0.13942857142857143,0.7564394905263159
0.02,99,0.267,0.1068,0.15257142857142858,0.7583491368421053
0.03,0,0.21,0.126,0.1575,0.7663745305263158
0.03,42,0.232,0.1392,0.174,0.7564394905263159
0.03,99,0.24133333333333334,0.1448,0.181,0.7583491368421053
0.05,0,0.1996,0.1996,0.1996,0.7663745305263158
0.05,42,0.2068,0.2068,0.2068,0.7564394905263159
0.05,99,0.2148,0.2148,0.2148,0.7583491368421053
0.07,0,0.17714285714285713,0.248,0.20666666666666667,0.7663745305263158
0.07,42,0.19285714285714287,0.27,0.225,0.7564394905263159
0.07,99,0.19657142857142856,0.2752,0.22933333333333333,0.7583491368421053
0.1,0,0.1604,0.3208,0.21386666666666668,0.7663745305263158
0.1,42,0.1688,0.3376,0.22506666666666666,0.7564394905263159
0.1,99,0.169,0.338,0.22533333333333333,0.7583491368421053
