transaction_id,date,merchant,category,amount,customer_id,payment_method,location,is_true_anomaly
35464,2024-01-01,Gojek,transport,259638.68,1057,cash,Medan,0
38750,2024-01-01,Shopee,online shopping,258839.3,1231,bank_transfer,Yogyakarta,0
47416,2024-01-01,Gojek,transport,207857.38,1259,e-wallet,Medan,0
28276,2024-01-01,ACE Hardware,electronics,417980.29,1114,e-wallet,Yogyakarta,0
11516,2024-01-01,Shopee,online shopping,306761.63,1060,e-wallet,Surabaya,0
11551,2024-01-01,Gojek,transport,325574.91,1145,cash,Jakarta,0
2465,2024-01-01,McDonalds,food,181245.8,1220,bank_transfer,Yogyakarta,0
21583,2024-01-01,Tokopedia,online shopping,369416.9,1165,e-wallet,Surabaya,0
28063,2024-01-01,Gojek,transport,163812.84,1149,e-wallet,Medan,0
27919,2024-01-01,Gojek,transport,351197.51,1242,e-wallet,Surabaya,0
42929,2024-01-01,McDonalds,food,419646.62,1261,cash,Yogyakarta,0
39468,2024-01-01,Indomaret,retail,1405003.8328554067,1136,credit_card,Jakarta,1
12006,2024-01-01,Bukalapak,online shopping,307715.8,1039,cash,Bandung,0
5619,2024-01-01,Gojek,transport,244262.31,1191,e-wallet,Jakarta,0
45212,2024-01-01,GrabFood,food,225987.88,1171,credit_card,Yogyakarta,0
26934,2024-01-01,Tokopedia,online shopping,418557.01,1120,cash,Jakarta,0
26897,2024-01-01,Shopee,online shopping,132792.02,1189,cash,Yogyakarta,0
26855,2024-01-01,Gojek,transport,389110.69,1038,bank_transfer,Jakarta,0
19877,2024-01-01,GrabFood,food,209544.89,1084,e-wallet,Medan,0
26711,2024-01-01,GrabFood,food,305760.33,1003,cash,Yogyakarta,0
26652,2024-01-01,Starbucks,food,233885.72,1229,credit_card,Medan,0
12387,2024-01-01,ACE Hardware,electronics,324433.76,1006,cash,Surabaya,0
47977,2024-01-01,GrabFood,food,261042.69,1052,e-wallet,Surabaya,0
20064,2024-01-01,GrabFood,food,173456.73,1107,e-wallet,Yogyakarta,0
28755,2024-01-01,Tokopedia,online shopping,255776.21,1031,credit_card,Bandung,1
26283,2024-01-01,Gojek,transport,233136.31,1109,e-wallet,Medan,0
29139,2024-01-01,McDonalds,food,241467.26,1298,cash,Yogyakarta,0
16378,2024-01-01,Tokopedia,online shopping,129502.44,1278,bank_transfer,Yogyakarta,0
37291,2024-01-01,ACE Hardware,electronics,210206.97,1167,bank_transfer,Medan,0
1689,2024-01-01,GrabFood,food,353651.39,1148,credit_card,Medan,0
37339,2024-01-01,GrabFood,food,206998.15,1220,bank_transfer,Yogyakarta,0
3489,2024-01-01,Gojek,transport,252462.79,1039,cash,Bandung,0
31780,2024-01-01,McDonalds,food,260051.53,1298,cash,Yogyakarta,0
31607,2024-01-01,Indomaret,retail,160517.69,1161,e-wallet,Surabaya,0
3508,2024-01-01,Gojek,transport,354310.8,1120,cash,Jakarta,0
31539,2024-01-01,Gojek,transport,88290.97,1210,cash,Bandung,0
