transaction_id,date,account_type,amount,transaction_type,branch,is_true_anomaly
1,2024-04-12,Gaji,2155863.1426784266,debit,Surabaya,0
2,2024-12-14,Penjualan,1608104.106648987,debit,Medan,0
3,2024-09-27,Penjualan,1821007.4103176598,credit,Surabaya,0
4,2024-04-16,Pembelian,1199083.6557978517,debit,Medan,0
5,2024-03-12,Pembelian,2131334.6990136355,debit,Medan,0
6,2024-07-07,Gaji,2865681.361881149,debit,Jakarta,0
7,2024-01-21,Kas,1967465.9741343649,credit,Jakarta,0
8,2024-12-29,Biaya Operasional,2507912.004640925,credit,Surabaya,1
9,2024-05-01,Biaya Operasional,2171969.599778261,credit,Jakarta,0
10,2024-08-02,Penjualan,2381556.8951809993,debit,Surabaya,0
11,2024-11-26,Penjualan,865222.2651311648,debit,Medan,0
12,2024-03-28,Gaji,2215804.3219939815,debit,Bandung,0
13,2024-04-09,Biaya Operasional,2424240.8718820256,credit,Medan,0
14,2024-12-25,Penjualan,2851773.357144513,debit,Jakarta,0
15,2024-05-31,Penjualan,1280182.8374351184,credit,Bandung,0
16,2024-05-10,Pembelian,2820539.107885693,credit,Bandung,0
17,2024-05-29,Gaji,1834848.4915832458,debit,Jakarta,1
18,2024-11-04,Gaji,2094404.7995744029,debit,Medan,0
19,2024-09-14,Kas,2471919.9809605726,debit,Bandung,0
20,2024-12-09,Kas,2462507.9123557624,debit,Medan,0
21,2024-10-20,Gaji,1138539.666368488,credit,Surabaya,0
22,2024-07-10,Biaya Operasional,2058021.22966759,credit,Surabaya,0
23,2024-10-03,Penjualan,1470328.7483887752,credit,Bandung,0
24,2024-06-09,Gaji,2027088.9925429367,debit,Surabaya,0
25,2024-11-09,Penjualan,1695907.7977849394,credit,Bandung,0
26,2024-01-22,Pembelian,1169809.3810384916,credit,Medan,0
27,2024-09-09,Kas,1493430.2095317512,debit,Bandung,0
28,2024-08-23,Gaji,2280561.721722064,debit,Medan,1
29,2024-12-10,Kas,3903647.45103943,credit,Jakarta,1
30,2024-02-18,Biaya Operasional,1449743.1440334478,debit,Medan,0
31,2024-02-28,Gaji,1712812.4230075325,debit,Bandung,0
32,2024-06-18,Biaya Operasional,2123847.631446528,debit,Medan,0
33,2024-07-06,Kas,2145590.1320285588,debit,Medan,0
34,2024-09-27,Pembelian,2338195.2376426677,credit,Medan,0
35,2024-07-08,Kas,2115618.4039122956,debit,Surabaya,0
36,2024-06-23,Biaya Operasional,2295531.0810036752,credit,Jakarta,0
37,2024-02-20,Biaya Operasional,1967187.824766688,debit,Medan,0
38,2024-12-29,Pembelian,2249870.910357111,debit,Medan,0
39,2024-02-24,Pembelian,2802392.655667372,debit,Surabaya,0
40,2024-08-31,Biaya Operasional,2785846.772151435,credit,Medan,0
41,2024-11-15,Kas,2018358.8894635132,debit,Surabaya,0
42,2024-05-10,Kas,1414843.0289175455,debit,Surabaya,0
43,2024-11-02,Gaji,2672180.15204836,credit,Surabaya,0
44,2024-05-14,Biaya Operasional,825162.2707927807,credit,Jakarta,0
45,2024-01-21,Gaji,2260076.8344169557,debit,Jakarta,0
46,2024-11-24,Biaya Operasional,2242523.047806509,credit,Jakarta,0
47,2024-06-15,Gaji,2023905.3739626014,debit,Surabaya,0
48,2024-09-30,Penjualan,2198152.1178788585,debit,Jakarta,0
49,2024-03-29,Kas,1339808.7753178785,credit,Surabaya,0
50,2024-11-11,Kas,1474575.2589657828,debit,Surabaya,0
51,2024-01-14,Penjualan,1359927.261460462,credit,Medan,0
52,2024-08-29,Pembelian,1421372.8510053186,debit,Medan,0
53,2024-09-21,Penjualan,1648376.7296968892,credit,Surabaya,0
54,2024-12-11,Kas,1911432.173038496,credit,Jakarta,0
55,2024-02-22,Biaya Operasional,2498762.8898672215,debit,Surabaya,0
56,2024-12-05,Gaji,2978100.673386883,credit,Bandung,0
57,2024-04-01,Kas,1585912.591235193,credit,Medan,0
58,2024-09-20,Penjualan,1962397.4352830397,credit,Surabaya,0
59,2024-02-04,Biaya Operasional,2049309.5691861704,debit,Bandung,0
60,2024-07-24,Kas,1555290.4074904588,credit,Surabaya,0
61,2024-03-21,Penjualan,1768740.856344344,debit,Medan,0
62,2024-02-19,Kas,2846170.6864093835,debit,Surabaya,0
63,2024-12-25,Penjualan,2598576.0694522383,credit,Jakarta,0
64,2024-01-02,Penjualan,2660224.019025908,credit,Jakarta,0
65,2024-02-23,Kas,2276594.49368928,debit,Bandung,0
66,2024-04-15,Biaya Operasional,2424159.804700892,credit,Surabaya,0
67,2024-09-16,Kas,2181744.0256881597,credit,Medan,0
68,2024-11-05,Kas,2799196.1242558826,debit,Jakarta,0
69,2024-07-09,Biaya Operasional,540953.364478722,debit,Medan,0
70,2024-08-05,Kas,1452725.005581732,credit,Surabaya,0
71,2024-02-13,Gaji,1260783.4051053482,debit,Medan,0
72,2024-06-10,Gaji,1658817.1286011692,credit,Medan,0
73,2024-07-20,Gaji,2026416.9762672342,debit,Surabaya,0
74,2024-09-26,Penjualan,1927943.7418796455,credit,Jakarta,0
75,2024-12-16,Pembelian,1573274.0543800574,debit,Jakarta,0
76,2024-10-30,Kas,2084702.811765341,debit,Medan,0
77,2024-09-27,Pembelian,2172959.752847532,debit,Bandung,0
78,2024-08-02,Gaji,2264359.3859092663,credit,Medan,0
79,2024-09-08,Biaya Operasional,2380955.9463766594,debit,Surabaya,0
80,2024-07-08,Gaji,1688015.1030742114,credit,Surabaya,0
81,2024-10-22,Kas,2500742.5228126133,debit,Surabaya,0
82,2024-07-31,Pembelian,1963836.2750007766,debit,Bandung,0
83,2024-07-26,Pembelian,2376486.019072946,debit,Medan,0
84,2024-08-24,Gaji,1684217.0636485445,debit,Bandung,1
85,2024-12-03,Biaya Operasional,2858186.5015921555,credit,Bandung,0
86,2024-02-22,Gaji,2252177.551107142,debit,Surabaya,0
87,2024-10-06,Biaya Operasional,2056296.8306320983,debit,Surabaya,0
88,2024-08-04,Kas,1393616.6407769283,debit,Medan,0
89,2024-09-08,Penjualan,2543354.24428712,credit,Bandung,0
90,2024-07-06,Gaji,1457561.6926253866,credit,Medan,0
91,2024-02-10,Kas,3108595.1080909055,credit,Jakarta,0
92,2024-06-05,Biaya Operasional,2366371.9333925084,credit,Medan,0
93,2024-01-15,Penjualan,1347748.3075631936,debit,Medan,0
94,2024-10-27,Gaji,2106563.2574753617,debit,Bandung,0
95,2024-03-05,Biaya Operasional,2983544.7247014074,debit,Bandung,0
96,2024-12-10,Gaji,1993225.8253838322,credit,Surabaya,0
97,2024-11-22,Penjualan,1820878.2225320262,credit,Medan,0
98,2024-01-09,Penjualan,2155428.3388104523,credit,Medan,0
99,2024-12-09,Biaya Operasional,1622675.5757751192,debit,Bandung,0
100,2024-05-08,Gaji,2667087.1446445473,debit,Jakarta,0
101,2024-12-29,Pembelian,1571867.4107980814,debit,Bandung,1
102,2024-03-03,Kas,2215967.62583382,credit,Bandung,0
103,2024-05-18,Penjualan,2625346.5457221153,credit,Surabaya,0
104,2024-03-21,Gaji,2028112.5829643798,credit,Jakarta,0
105,2024-06-11,Biaya Operasional,2645492.009295281,debit,Surabaya,0
106,2024-10-15,Biaya Operasional,1905690.3765302198,debit,Surabaya,0
107,2024-09-17,Penjualan,1436818.038286929,credit,Medan,0
108,2024-08-18,Penjualan,2371133.027508419,debit,Bandung,0
109,2024-02-10,Pembelian,2168413.92272291,debit,Medan,0
110,2024-01-28,Biaya Operasional,1520795.6740522934,credit,Jakarta,0
111,2024-05-14,Gaji,1956703.9637714878,debit,Bandung,0
112,2024-07-19,Kas,2751367.2018102123,debit,Surabaya,1
113,2024-11-23,Gaji,1996900.4059652928,debit,Bandung,1
114,2024-09-24,Pembelian,3141172.9516524263,credit,Bandung,0
115,2024-02-02,Gaji,2479476.299177997,credit,Medan,0
116,2024-02-17,Kas,2313491.3237230764,debit,Jakarta,0
117,2024-03-02,Kas,2084370.4499727641,credit,Medan,0
118,2024-08-03,Gaji,2524560.128956441,credit,Surabaya,0
119,2024-10-19,Gaji,2038769.2738739392,debit,Jakarta,0
120,2024-04-08,Penjualan,1103706.0005239975,credit,Surabaya,0
121,2024-06-20,Kas,1330438.3574864997,credit,Medan,0
122,2024-12-25,Kas,1725624.1456472299,debit,Surabaya,0
123,2024-08-01,Pembelian,1789397.880458706,debit,Surabaya,0
124,2024-02-04,Penjualan,2012824.3488780807,credit,Surabaya,0
125,2024-08-14,Penjualan,2593446.7921883073,debit,Surabaya,0
126,2024-04-10,Kas,2748070.6855316907,credit,Jakarta,1
127,2024-05-10,Biaya Operasional,2089026.3948797379,debit,Jakarta,0
128,2024-09-13,Biaya Operasional,1448683.6265521082,credit,Jakarta,0
129,2024-01-05,Gaji,1923019.2330152034,debit,Jakarta,1
130,2024-08-05,Penjualan,1689836.1247520458,credit,Jakarta,0
131,2024-09-11,Kas,1488686.8991279174,debit,Jakarta,0
132,2024-12-24,Kas,465890.27000266593,credit,Surabaya,0
133,2024-10-09,Kas,1408236.955786875,debit,Jakarta,0
134,2024-07-25,Pembelian,2872493.7863976234,debit,Medan,0
135,2024-01-15,Biaya Operasional,2582719.888866532,credit,Jakarta,0
136,2024-12-11,Pembelian,1573258.9055422214,debit,Medan,0
137,2024-02-11,Kas,1758361.1696392666,debit,Bandung,0
138,2024-06-27,Kas,3257154.6801014906,credit,Jakarta,0
139,2024-03-03,Penjualan,3190028.0568910725,credit,Medan,0
140,2024-12-17,Penjualan,2107763.8480751626,credit,Jakarta,0
141,2024-08-18,Biaya Operasional,2374055.061908746,debit,Jakarta,0
142,2024-08-28,Gaji,2149201.1486903406,credit,Bandung,0
143,2024-02-21,Kas,1842978.9935066085,credit,Medan,0
144,2024-04-05,Penjualan,2138220.286777355,debit,Jakarta,0
145,2024-08-09,Biaya Operasional,2315163.7907561935,debit,Surabaya,0
146,2024-08-18,Pembelian,2526331.9499077625,credit,Medan,0
147,2024-08-24,Kas,2164216.87868992,credit,Medan,0
148,2024-05-22,Gaji,2156887.0242137704,credit,Medan,0
149,2024-06-19,Biaya Operasional,1367528.9914888428,debit,Jakarta,0
150,2024-01-29,Gaji,1587311.733602786,debit,Medan,0
151,2024-02-05,Kas,1094302.528554798,credit,Bandung,0
152,2024-01-13,Biaya Operasional,2236704.6976008206,credit,Surabaya,0
153,2024-06-08,Penjualan,1714489.2815863006,credit,Surabaya,0
154,2024-11-22,Gaji,1900388.8843355686,credit,Jakarta,0
155,2024-07-05,Pembelian,2043031.4212409852,credit,Surabaya,0
156,2024-08-30,Pembelian,2150781.9258605563,credit,Jakarta,0
157,2024-03-26,Gaji,1047947.712102544,debit,Jakarta,0
158,2024-10-10,Kas,2192989.961464582,credit,Jakarta,0
159,2024-03-06,Kas,1802674.454816694,credit,Surabaya,0
160,2024-06-18,Kas,2440323.2956965826,debit,Surabaya,0
161,2024-02-14,Pembelian,1840014.2288924635,credit,Bandung,0
162,2024-03-02,Pembelian,1694423.9668552873,debit,Medan,0
163,2024-05-13,Penjualan,2570118.530210799,credit,Bandung,0
164,2024-10-10,Kas,1517512.593484216,credit,Medan,0
165,2024-01-28,Pembelian,1743407.4671341465,debit,Jakarta,0
166,2024-04-17,Pembelian,1536995.942877716,debit,Bandung,0
167,2024-02-13,Kas,1766065.6857549045,debit,Medan,0
168,2024-12-05,Kas,2841148.145050315,debit,Medan,0
169,2024-10-12,Pembelian,1394273.2500744476,credit,Medan,0
170,2024-11-26,Gaji,1872937.5239493942,credit,Bandung,0
171,2024-05-07,Pembelian,2393640.0236496283,debit,Jakarta,0
172,2024-12-13,Penjualan,1888217.3360899347,debit,Jakarta,0
173,2024-08-18,Biaya Operasional,2195757.878423148,debit,Bandung,0
174,2024-07-08,Kas,1733102.024280579,debit,Jakarta,0
175,2024-08-12,Penjualan,1946597.4074345713,debit,Surabaya,0
176,2024-10-09,Gaji,1871591.2963016797,credit,Jakarta,0
177,2024-04-30,Biaya Operasional,2211219.5814904235,credit,Bandung,1
178,2024-04-25,Pembelian,2586843.540010066,credit,Medan,0
179,2024-08-20,Kas,1696838.0300623793,credit,Surabaya,0
180,2024-09-15,Pembelian,2154995.200820626,credit,Surabaya,0
181,2024-12-24,Penjualan,2479981.385606221,debit,Jakarta,0
182,2024-07-16,Kas,2275972.5515733925,credit,Jakarta,0
183,2024-05-16,Pembelian,1864830.6091754867,credit,Medan,0
184,2024-11-13,Kas,2674950.596158335,debit,Medan,0
185,2024-06-13,Penjualan,2080738.4614801055,debit,Bandung,0
186,2024-08-12,Pembelian,2435208.3900627256,debit,Surabaya,0
187,2024-11-02,Biaya Operasional,1735901.1778216828,debit,Surabaya,0
188,2024-08-21,Gaji,2292976.028633179,credit,Bandung,0
189,2024-06-20,Pembelian,2336322.041961455,credit,Bandung,0
190,2024-05-31,Kas,1616875.0551391495,debit,Surabaya,0
191,2024-11-10,Gaji,2678803.6431422476,debit,Medan,1
192,2024-06-08,Kas,2564554.028556284,debit,Medan,0
193,2024-04-05,Penjualan,1730460.3528943835,credit,Bandung,0
194,2024-08-20,Gaji,1292621.8743412797,credit,Surabaya,0
195,2024-06-28,Kas,1911368.016419782,debit,Surabaya,0
196,2024-04-22,Pembelian,1950413.1208907194,credit,Bandung,0
197,2024-11-13,Penjualan,1699141.2738806545,debit,Medan,0
198,2024-02-21,Biaya Operasional,1765147.5991128401,debit,Surabaya,0
199,2024-09-24,Pembelian,2415205.122917897,debit,Bandung,0
200,2024-10-21,Gaji,2800281.0403660815,debit,Medan,0
201,2024-04-22,Penjualan,2390932.663470659,debit,Bandung,0
202,2024-04-10,Pembelian,2625838.5211099368,credit,Bandung,0
203,2024-04-22,Kas,2002513.5540658499,credit,Medan,0
204,2024-03-21,Kas,1231524.1836909684,debit,Bandung,0
205,2024-07-05,Kas,1724307.1608025087,debit,Jakarta,0
206,2024-04-22,Pembelian,1638292.167374438,credit,Bandung,0
207,2024-01-02,Gaji,2492364.3511781003,credit,Jakarta,0
208,2024-05-09,Kas,949606.7738373398,debit,Jakarta,0
209,2024-08-07,Pembelian,2076323.7508986269,credit,Bandung,0
210,2024-02-23,Pembelian,1923286.5663027514,debit,Surabaya,0
211,2024-12-08,Gaji,2180736.601705897,credit,Jakarta,0
212,2024-08-11,Penjualan,1522821.8083295296,debit,Surabaya,0
213,2024-08-12,Penjualan,2582505.8123704665,debit,Surabaya,0
214,2024-05-05,Pembelian,2088693.6325183075,credit,Jakarta,0
215,2024-05-09,Penjualan,1437303.0568863926,debit,Surabaya,0
216,2024-02-22,Biaya Operasional,1509562.1124831825,debit,Medan,0
217,2024-06-20,Gaji,1785117.8048617896,credit,Jakarta,0
218,2024-08-05,Pembelian,2267191.564838783,debit,Surabaya,0
219,2024-06-08,Penjualan,1620002.0526508922,credit,Medan,0
220,2024-12-29,Penjualan,2302716.4368692758,debit,Bandung,1
221,2024-09-03,Gaji,1977945.239841768,credit,Jakarta,0
222,2024-11-19,Kas,2743362.246144304,debit,Bandung,0
223,2024-07-21,Penjualan,1706633.5786624884,credit,Medan,0
224,2024-07-02,Gaji,1972103.5607319167,debit,Surabaya,0
225,2024-05-02,Kas,2438782.5131664774,debit,Medan,0
226,2024-09-11,Pembelian,1579114.7399337548,credit,Bandung,0
227,2024-10-20,Kas,1539156.3112479397,debit,Medan,0
228,2024-10-06,Penjualan,1420311.7354147485,debit,Jakarta,0
229,2024-11-20,Pembelian,2293494.9336674092,debit,Bandung,0
230,2024-04-07,Pembelian,1277332.3124980088,credit,Medan,0
231,2024-07-16,Kas,2143163.2678939477,debit,Bandung,0
232,2024-08-27,Pembelian,1650887.4599966703,credit,Medan,0
233,2024-05-23,Kas,1653540.2566075106,debit,Bandung,0
234,2024-04-06,Kas,1055066.19858996,credit,Bandung,0
235,2024-07-19,Kas,1949099.2807111808,debit,Medan,0
236,2024-05-03,Gaji,1626519.3101341063,credit,Medan,0
237,2024-12-29,Penjualan,1891587.009752558,credit,Medan,1
238,2024-11-21,Pembelian,1897510.735358919,credit,Medan,0
239,2024-12-14,Biaya Operasional,2864555.9965365264,debit,Bandung,0
240,2024-09-15,Penjualan,1542025.8348262857,debit,Surabaya,0
241,2024-05-27,Biaya Operasional,2252020.7024065237,credit,Jakarta,0
242,2024-09-08,Kas,1827625.3504792252,debit,Jakarta,0
243,2024-12-11,Pembelian,2291650.402012696,debit,Jakarta,0
244,2024-05-26,Penjualan,1907574.5371008434,debit,Surabaya,0
245,2024-05-27,Biaya Operasional,2888461.1977781407,debit,Bandung,0
246,2024-12-17,Biaya Operasional,1970201.2748142234,credit,Surabaya,0
247,2024-07-17,Biaya Operasional,2050615.1705635116,debit,Medan,0
248,2024-11-03,Penjualan,2594401.8239585506,credit,Jakarta,0
249,2024-05-07,Gaji,1820293.2255765002,credit,Bandung,0
250,2024-02-08,Kas,2515951.6411829903,credit,Medan,0
251,2024-12-03,Pembelian,2596870.2034370536,credit,Surabaya,0
252,2024-12-29,Biaya Operasional,1722746.7253061368,debit,Medan,1
253,2024-05-08,Penjualan,2402599.257397027,credit,Medan,0
254,2024-09-23,Biaya Operasional,1520063.8552470133,credit,Bandung,0
255,2024-05-30,Penjualan,2105119.3839996755,credit,Medan,0
256,2024-10-24,Gaji,1672211.3352712882,debit,Medan,0
257,2024-04-08,Biaya Operasional,1966226.5312609894,credit,Jakarta,0
258,2024-09-19,Biaya Operasional,2342830.5503477207,credit,Medan,0
259,2024-09-08,Pembelian,3807337.2563610626,debit,Medan,1
260,2024-05-23,Penjualan,833032.9421369205,debit,Bandung,0
261,2024-12-11,Penjualan,1564005.1549454913,debit,Surabaya,0
262,2024-04-21,Gaji,2678146.5973987933,credit,Bandung,0
263,2024-02-29,Biaya Operasional,3191350.798844364,credit,Bandung,1
264,2024-01-02,Pembelian,1984145.804927188,credit,Surabaya,0
